[3, 0, 0, 0]
[2, 2, 1, 0]
[2, 1, 3, 0]
[2, 1, 2, 5]
[2, 1, 1, 10]
[2, 0, 5, 0]
[2, 0, 4, 5]
[2, 0, 3, 10]
[2, 0, 2, 15]
[2, 0, 1, 20]
[2, 2, 0, 5]
[2, 1, 0, 15]
[2, 0, 0, 25]
[1, 5, 0, 0]
[1, 4, 2, 0]
[1, 4, 1, 5]
[1, 4, 0, 10]
[1, 3, 4, 0]
[1, 3, 3, 5]
[1, 3, 2, 10]
[1, 3, 1, 15]
[1, 3, 0, 20]
[1, 2, 6, 0]
[1, 2, 5, 5]
[1, 2, 4, 10]
[1, 2, 3, 15]
[1, 2, 2, 20]
[1, 2, 1, 25]
[1, 2, 0, 30]
[1, 1, 8, 0]
[1, 1, 7, 5]
[1, 1, 6, 10]
[1, 1, 5, 15]
[1, 1, 4, 20]
[1, 1, 3, 25]
[1, 1, 2, 30]
[1, 1, 1, 35]
[1, 1, 0, 40]
[1, 0, 10, 0]
[1, 0, 9, 5]
[1, 0, 8, 10]
[1, 0, 7, 15]
[1, 0, 6, 20]
[1, 0, 5, 25]
[1, 0, 4, 30]
[1, 0, 3, 35]
[1, 0, 2, 40]
[1, 0, 1, 45]
[1, 0, 0, 50]
[0, 7, 1, 0]
[0, 6, 3, 0]
[0, 6, 2, 5]
[0, 6, 1, 10]
[0, 5, 5, 0]
[0, 5, 4, 5]
[0, 5, 3, 10]
[0, 5, 2, 15]
[0, 5, 1, 20]
[0, 4, 7, 0]
[0, 4, 6, 5]
[0, 4, 5, 10]
[0, 4, 4, 15]
[0, 4, 3, 20]
[0, 4, 2, 25]
[0, 4, 1, 30]
[0, 3, 9, 0]
[0, 3, 8, 5]
[0, 3, 7, 10]
[0, 3, 6, 15]
[0, 3, 5, 20]
[0, 3, 4, 25]
[0, 3, 3, 30]
[0, 3, 2, 35]
[0, 3, 1, 40]
[0, 2, 11, 0]
[0, 2, 10, 5]
[0, 2, 9, 10]
[0, 2, 8, 15]
[0, 2, 7, 20]
[0, 2, 6, 25]
[0, 2, 5, 30]
[0, 2, 4, 35]
[0, 2, 3, 40]
[0, 2, 2, 45]
[0, 2, 1, 50]
[0, 1, 13, 0]
[0, 1, 12, 5]
[0, 1, 11, 10]
[0, 1, 10, 15]
[0, 1, 9, 20]
[0, 1, 8, 25]
[0, 1, 7, 30]
[0, 1, 6, 35]
[0, 1, 5, 40]
[0, 1, 4, 45]
[0, 1, 3, 50]
[0, 1, 2, 55]
[0, 1, 1, 60]
[0, 0, 15, 0]
[0, 0, 14, 5]
[0, 0, 13, 10]
[0, 0, 12, 15]
[0, 0, 11, 20]
[0, 0, 10, 25]
[0, 0, 9, 30]
[0, 0, 8, 35]
[0, 0, 7, 40]
[0, 0, 6, 45]
[0, 0, 5, 50]
[0, 0, 4, 55]
[0, 0, 3, 60]
[0, 0, 2, 65]
[0, 0, 1, 70]
[0, 7, 0, 5]
[0, 6, 0, 15]
[0, 5, 0, 25]
[0, 4, 0, 35]
[0, 3, 0, 45]
[0, 2, 0, 55]
[0, 1, 0, 65]
[0, 0, 0, 75]
